,presicion,recall,f1
tau:1.00-gamma:0.05-C:0.30-bound:0.05,0.3399732808509552,0.9179008126376548,0.494845113902491
tau:1.00-gamma:0.05-C:0.30-bound:0.03,0.3229780247423677,0.9418242576137313,0.47980955945018655
tau:1.00-gamma:0.05-C:0.30-bound:0.01,0.23966358729029258,0.9661084529505581,0.3832392193602469
tau:1.00-gamma:0.05-C:0.50-bound:0.50,0.646125116713352,0.4983687809774766,0.5534353673888557
tau:1.00-gamma:0.05-C:0.50-bound:0.30,0.5830899999256997,0.7281213574119753,0.6437495720379319
tau:1.00-gamma:0.05-C:0.50-bound:0.10,0.4032045684166639,0.8708893445735552,0.5500094613156546
tau:1.00-gamma:0.05-C:0.50-bound:0.05,0.3572572543541432,0.9254765702134122,0.5143945745486022
tau:1.00-gamma:0.05-C:0.50-bound:0.03,0.3321758932236056,0.9418242576137313,0.48983600625166884
tau:1.00-gamma:0.05-C:0.50-bound:0.01,0.2523134403984904,0.9824561403508771,0.40059710469384086
tau:1.00-gamma:0.05-C:0.70-bound:0.50,0.6494065574947928,0.5083368830508418,0.5602058604110588
tau:1.00-gamma:0.05-C:0.70-bound:0.30,0.5828403849237183,0.7129698422604601,0.6375965537730243
tau:1.00-gamma:0.05-C:0.70-bound:0.10,0.41643736583393304,0.8852054378370168,0.5651524475639234
tau:1.00-gamma:0.05-C:0.70-bound:0.05,0.3636848919972322,0.9418242576137313,0.523516208077566
tau:1.00-gamma:0.05-C:0.70-bound:0.03,0.33053908651734737,0.9661084529505581,0.4916464951479656
tau:1.00-gamma:0.05-C:0.70-bound:0.01,0.25721836217789684,0.9912280701754387,0.4076839404852492
tau:1.00-gamma:0.05-C:0.80-bound:0.50,0.6606643214699481,0.5083368830508418,0.5652070152070152
tau:1.00-gamma:0.05-C:0.80-bound:0.30,0.5942489146655813,0.7057234654488659,0.6409724287423092
tau:1.00-gamma:0.05-C:0.80-bound:0.10,0.4264979168608705,0.900356952988532,0.5773680509145028
tau:1.00-gamma:0.05-C:0.80-bound:0.05,0.3665746626355486,0.9418242576137313,0.5266394961980019
tau:1.00-gamma:0.05-C:0.80-bound:0.03,0.33004584980613877,0.9661084529505581,0.49121996376898336
tau:1.00-gamma:0.05-C:0.80-bound:0.01,0.2578208482255884,0.9912280701754387,0.40844043037217387
tau:1.00-gamma:0.05-C:1.00-bound:0.50,0.6636890744947012,0.5083368830508418,0.565501628001628
tau:1.00-gamma:0.05-C:1.00-bound:0.30,0.6002578378454956,0.6826354423608428,0.6338498758676597
tau:1.00-gamma:0.05-C:1.00-bound:0.10,0.4245989304812834,0.8927811954127746,0.5736964964087482
tau:1.00-gamma:0.05-C:1.00-bound:0.05,0.372926528263118,0.9497607655502392,0.5348250197156644
tau:1.00-gamma:0.05-C:1.00-bound:0.03,0.3326934762318792,0.9661084529505581,0.49440087464322496
tau:1.00-gamma:0.05-C:1.00-bound:0.01,0.2679624481997269,1.0,0.4217179678850283
tau:1.00-gamma:0.05-C:2.00-bound:0.50,0.6701569264069264,0.5246845704511608,0.5805377906789975
tau:1.00-gamma:0.05-C:2.00-bound:0.30,0.6041209193383107,0.6905719502973507,0.6392410963116723
tau:1.00-gamma:0.05-C:2.00-bound:0.10,0.4432823311466909,0.8852054378370169,0.588642889694395
tau:1.00-gamma:0.05-C:2.00-bound:0.05,0.3872000767311077,0.9585326953748007,0.551309286884316
tau:1.00-gamma:0.05-C:2.00-bound:0.03,0.3548645105062061,0.9824561403508772,0.5210230534347439
tau:1.00-gamma:0.05-C:2.00-bound:0.01,0.2849794435573993,1.0,0.44258092688907746
tau:1.00-gamma:0.10-C:0.30-bound:0.50,0.6639418587947999,0.531424906138865,0.5821671235487925
tau:1.00-gamma:0.10-C:0.30-bound:0.30,0.5821539571539571,0.7281213574119753,0.6434507247715139
tau:1.00-gamma:0.10-C:0.30-bound:0.10,0.41056408660531957,0.8776296802612592,0.5583091359643465
tau:1.00-gamma:0.10-C:0.30-bound:0.05,0.3630530914660366,0.9418242576137313,0.5230417013349782
tau:1.00-gamma:0.10-C:0.30-bound:0.03,0.32868504292223066,0.9418242576137313,0.48599258143685864
tau:1.00-gamma:0.10-C:0.30-bound:0.01,0.2550551145987522,0.9824561403508771,0.4040263196763098
tau:1.00-gamma:0.10-C:0.50-bound:0.50,0.6548733129615483,0.5159126406265994,0.5671930997512393
tau:1.00-gamma:0.10-C:0.50-bound:0.30,0.5901713564213565,0.6981477078731083,0.634676564156946
tau:1.00-gamma:0.10-C:0.50-bound:0.10,0.42476300547319196,0.900356952988532,0.5757336560009985
tau:1.00-gamma:0.10-C:0.50-bound:0.05,0.36750217389808565,0.9409888357256779,0.527838225821709
tau:1.00-gamma:0.10-C:0.50-bound:0.03,0.33182659849932983,0.9661084529505581,0.4934437377310319
tau:1.00-gamma:0.10-C:0.50-bound:0.01,0.2675311899030264,0.9912280701754387,0.4203448217477144
tau:1.00-gamma:0.10-C:0.70-bound:0.50,0.6737225193107546,0.5246845704511608,0.5814536863317351
tau:1.00-gamma:0.10-C:0.70-bound:0.30,0.5984788031204339,0.6974262071516075,0.6392942652963862
tau:1.00-gamma:0.10-C:0.70-bound:0.10,0.43097824161653947,0.9007177033492825,0.581255621942859
tau:1.00-gamma:0.10-C:0.70-bound:0.05,0.3785055327505716,0.9573365231259968,0.5421581247076134
tau:1.00-gamma:0.10-C:0.70-bound:0.03,0.3365319618196465,0.9748803827751197,0.5000575584719642
tau:1.00-gamma:0.10-C:0.70-bound:0.01,0.27676230713166416,1.0,0.4326650359971282
tau:1.00-gamma:0.10-C:0.80-bound:0.50,0.6701569264069264,0.5246845704511608,0.5805377906789975
tau:1.00-gamma:0.10-C:0.80-bound:0.30,0.5935861073792109,0.7053627150881155,0.6410655240342779
tau:1.00-gamma:0.10-C:0.80-bound:0.10,0.43023817286176486,0.9007177033492825,0.5808906737928411
tau:1.00-gamma:0.10-C:0.80-bound:0.05,0.3790454047952316,0.9573365231259968,0.5425900132180431
tau:1.00-gamma:0.10-C:0.80-bound:0.03,0.34125971287222745,0.9748803827751197,0.5052125298781731
tau:1.00-gamma:0.10-C:0.80-bound:0.01,0.28167599573759877,1.0,0.43863252907665223
tau:1.00-gamma:0.10-C:1.00-bound:0.50,0.6665337380011293,0.5246845704511608,0.5784084836716415
tau:1.00-gamma:0.10-C:1.00-bound:0.30,0.5922300811316829,0.6905719502973507,0.6325461349851594
tau:1.00-gamma:0.10-C:1.00-bound:0.10,0.4438741993214444,0.8927811954127746,0.5906593078631758
tau:1.00-gamma:0.10-C:1.00-bound:0.05,0.3872000767311077,0.9585326953748007,0.551309286884316
