,presicion,recall,f1
tau:1.00-gamma:0.10-C:0.70-bound:0.30,0.5761626287942078,0.6344278020479394,0.5995155471758087
tau:1.00-gamma:0.10-C:0.70-bound:0.10,0.4229952529838934,0.9115212273107011,0.5765181307845896
tau:1.00-gamma:0.10-C:0.70-bound:0.05,0.3665980952240957,0.9760765550239233,0.5325958518605577
tau:1.00-gamma:0.10-C:0.70-bound:0.03,0.33499816932652754,1.0,0.5013174597305924
tau:1.00-gamma:0.10-C:0.70-bound:0.01,0.2796926588377922,1.0,0.4361179735454859
tau:1.00-gamma:0.10-C:0.80-bound:0.50,0.6615793928293929,0.5258807426999647,0.5795350303864236
tau:1.00-gamma:0.10-C:0.80-bound:0.30,0.5998631636562671,0.6431997318725008,0.6151034009483702
tau:1.00-gamma:0.10-C:0.80-bound:0.10,0.42866347626686974,0.9202931571352625,0.5836076916642235
tau:1.00-gamma:0.10-C:0.80-bound:0.05,0.36949573006590547,0.9760765550239233,0.535680056410508
tau:1.00-gamma:0.10-C:0.80-bound:0.03,0.3436895042237628,1.0,0.5108430190896354
tau:1.00-gamma:0.10-C:0.80-bound:0.01,0.2815890984399445,1.0,0.4384164828548083
tau:1.00-gamma:0.10-C:1.00-bound:0.50,0.6682262182262182,0.5334565002757222,0.5872269328151681
tau:1.00-gamma:0.10-C:1.00-bound:0.30,0.5822417485977684,0.6587119973847663,0.6130835674244717
tau:1.00-gamma:0.10-C:1.00-bound:0.10,0.45257381507381506,0.9202931571352625,0.6052655292432779
tau:1.00-gamma:0.10-C:1.00-bound:0.05,0.3771447478547902,0.9760765550239233,0.5434706303858351
tau:1.00-gamma:0.10-C:1.00-bound:0.03,0.34752219277434615,0.9912280701754387,0.5139775546627404
tau:1.00-gamma:0.10-C:1.00-bound:0.01,0.2837657453040344,1.0,0.44113244264623974
tau:1.00-gamma:0.10-C:2.00-bound:0.50,0.680345471521942,0.5253433319794876,0.5867861152744874
tau:1.00-gamma:0.10-C:2.00-bound:0.30,0.6030323718495761,0.6897051588127102,0.6398890886167596
tau:1.00-gamma:0.10-C:2.00-bound:0.10,0.4847389045063464,0.913046780323668,0.6315825762839814
tau:1.00-gamma:0.10-C:2.00-bound:0.05,0.4104381790744673,0.9609250398724084,0.5748658046827329
tau:1.00-gamma:0.10-C:2.00-bound:0.03,0.3727682347756239,0.9912280701754387,0.5413085704596529
tau:1.00-gamma:0.10-C:2.00-bound:0.01,0.29665571410358665,0.9912280701754387,0.4558137655549373
tau:1.00-gamma:0.15-C:0.30-bound:0.50,0.6740277696160049,0.5171088128754032,0.5768111518111518
tau:1.00-gamma:0.15-C:0.30-bound:0.30,0.5581171319102354,0.6427250603451976,0.592843302315352
tau:1.00-gamma:0.15-C:0.30-bound:0.10,0.4072143442976776,0.9258373205741627,0.5644912564956065
tau:1.00-gamma:0.15-C:0.30-bound:0.05,0.3519033364712005,0.9848484848484849,0.5180220650754191
tau:1.00-gamma:0.15-C:0.30-bound:0.03,0.32117032533320583,0.9924242424242425,0.4845388656777178
tau:1.00-gamma:0.15-C:0.30-bound:0.01,0.27779244176303003,1.0,0.4340206791999727
tau:1.00-gamma:0.15-C:0.50-bound:0.50,0.6582463288345641,0.5334565002757222,0.5838762000526706
tau:1.00-gamma:0.15-C:0.50-bound:0.30,0.5722883597883598,0.6499400675602048,0.6051291747406558
tau:1.00-gamma:0.15-C:0.50-bound:0.10,0.42712169396653055,0.9202931571352625,0.5821444197883091
tau:1.00-gamma:0.15-C:0.50-bound:0.05,0.36772042967976354,0.9760765550239233,0.5337350635260852
tau:1.00-gamma:0.15-C:0.50-bound:0.03,0.33687562281688427,1.0,0.5033702674045165
tau:1.00-gamma:0.15-C:0.50-bound:0.01,0.28158480470797237,1.0,0.4385695703565393
