,peak_0-1,peak_0-2,peak_0-3,peak_1-2,peak_1-3,peak_2-3,cov_0,cov_1,cov_2,cov_3,rasterfile
mGE84-MS-D1-09,2.0504891958390097,4.300469880501476,6.355851527486328,2.249980684662466,4.305362331647318,2.055381646984852,[[0.20769934]],[[0.20769934]],[[0.20769934]],[[0.20769934]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE84_30.07.2019_MS.mcd/Raster_NegativeSpikes_Triggers_D1_ElectrodeChannel_09.png
mGE84-MS-D1-10,2.5162623659896894,1.7441527872805036,1.2624062756684804,4.260415153270193,1.253856090321209,3.006559062948984,[[0.18817297]],[[0.18817297]],[[0.18817297]],[[0.18817297]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE84_30.07.2019_MS.mcd/Raster_NegativeSpikes_Triggers_D1_ElectrodeChannel_10.png
mGE84-MS-D1-11,2.3093804848175488,5.013814688680046,3.945747834205596,2.7044342038624976,1.6363673493880473,1.0680668544744503,[[0.20376574]],[[0.20376574]],[[0.20376574]],[[0.20376574]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE84_30.07.2019_MS.mcd/Raster_NegativeSpikes_Triggers_D1_ElectrodeChannel_11.png
mGE84-MS-D1-12,4.811408254671431,2.566463877633371,5.830577077990366,2.2449443770380597,10.641985332661797,8.397040955623737,[[0.22219158]],[[0.22219158]],[[0.22219158]],[[0.22219158]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE84_30.07.2019_MS.mcd/Raster_NegativeSpikes_Triggers_D1_ElectrodeChannel_12.png
mGE84-MS-D1-13,2.0241658115915016,4.832258802176623,8.123553730565598,2.8080929905851217,6.099387918974097,3.291294928388975,[[0.08005129]],[[0.08005129]],[[0.08005129]],[[0.08005129]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE84_30.07.2019_MS.mcd/Raster_NegativeSpikes_Triggers_D1_ElectrodeChannel_13.png
mGE84-MS-D1-28,10.725864953203358,4.502278733092773,7.3891844134513445,6.223586220110585,3.336680539752013,2.8869056803585718,[[0.09394523]],[[0.09394523]],[[0.09394523]],[[0.09394523]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE84_30.07.2019_MS.mcd/Raster_NegativeSpikes_Triggers_D1_ElectrodeChannel_28.png
mGE84-MS-D1-29,6.63642462100926,3.190494510156645,3.233379311755291,3.445930110852615,9.869803932764551,6.423873821911936,[[0.09470674]],[[0.09470674]],[[0.09470674]],[[0.09470674]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE84_30.07.2019_MS.mcd/Raster_NegativeSpikes_Triggers_D1_ElectrodeChannel_29.png
mGE84-MS-D1-30,3.1432569328373408,5.007489321722462,10.938857709144969,1.8642323888851209,7.795600776307628,5.931368387422507,[[0.18534464]],[[0.18534464]],[[0.18534464]],[[0.18534464]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE84_30.07.2019_MS.mcd/Raster_NegativeSpikes_Triggers_D1_ElectrodeChannel_30.png
mGE84-MS-D1-31,0.9058775482965835,1.4830199840216398,4.769907826840966,2.3888975323182233,5.67578537513755,3.2868878428193264,[[0.191275]],[[0.191275]],[[0.191275]],[[0.191275]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE84_30.07.2019_MS.mcd/Raster_NegativeSpikes_Triggers_D1_ElectrodeChannel_31.png
mGE84-MS-C2-04,8.01643924447768,3.7657244452473666,1.9991638098034699,4.250714799230314,6.017275434674211,1.7665606354438967,[[0.06448834]],[[0.06448834]],[[0.06448834]],[[0.06448834]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE84_30.07.2019_MS.mcd/Raster_NegativeSpikes_Triggers_C2_ElectrodeChannel_04.png
